"### Downloaded by Andrew Hamilton, Aug 6, 2020, from https://www.ncdc.noaa.gov/cdo-web/datasets/GHCND/stations/GHCND:USC00311677/detail",,,,,,
STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USC00311677,"CHAPEL HILL 2 W, NC US",7/17/1920,0,0,89,67
USC00311677,"CHAPEL HILL 2 W, NC US",7/18/1920,0.02,0,82,64
USC00311677,"CHAPEL HILL 2 W, NC US",7/19/1920,1.5,0,84,64
USC00311677,"CHAPEL HILL 2 W, NC US",7/20/1920,2,0,86,62
USC00311677,"CHAPEL HILL 2 W, NC US",7/21/1920,0.04,0,86,68
USC00311677,"CHAPEL HILL 2 W, NC US",7/22/1920,0,0,87,70
USC00311677,"CHAPEL HILL 2 W, NC US",7/23/1920,0,0,90,73
USC00311677,"CHAPEL HILL 2 W, NC US",7/24/1920,0,0,92,71
USC00311677,"CHAPEL HILL 2 W, NC US",7/25/1920,0.24,0,90,69
USC00311677,"CHAPEL HILL 2 W, NC US",7/26/1920,0,0,85,61
USC00311677,"CHAPEL HILL 2 W, NC US",7/27/1920,0,0,82,57
USC00311677,"CHAPEL HILL 2 W, NC US",7/28/1920,0,0,79,53
USC00311677,"CHAPEL HILL 2 W, NC US",7/29/1920,0,0,83,55
USC00311677,"CHAPEL HILL 2 W, NC US",7/30/1920,0,0,85,67
USC00311677,"CHAPEL HILL 2 W, NC US",7/31/1920,0,0,89,65
USC00311677,"CHAPEL HILL 2 W, NC US",8/1/1920,0,,85,67
USC00311677,"CHAPEL HILL 2 W, NC US",8/2/1920,0.45,,80,60
USC00311677,"CHAPEL HILL 2 W, NC US",8/3/1920,0,,82,62
USC00311677,"CHAPEL HILL 2 W, NC US",8/4/1920,0,,84,64
USC00311677,"CHAPEL HILL 2 W, NC US",9/18/1920,0,,80,48
USC00311677,"CHAPEL HILL 2 W, NC US",9/19/1920,0,,85,57
USC00311677,"CHAPEL HILL 2 W, NC US",9/20/1920,0,,84,53
USC00311677,"CHAPEL HILL 2 W, NC US",9/21/1920,0,,80,51
USC00311677,"CHAPEL HILL 2 W, NC US",9/22/1920,0,,81,58
USC00311677,"CHAPEL HILL 2 W, NC US",9/23/1920,1.78,,81,64
USC00311677,"CHAPEL HILL 2 W, NC US",9/24/1920,0.07,,87,67
USC00311677,"CHAPEL HILL 2 W, NC US",9/25/1920,0,,89,69
USC00311677,"CHAPEL HILL 2 W, NC US",9/26/1920,0,,88,67
USC00311677,"CHAPEL HILL 2 W, NC US",9/27/1920,0.22,,86,66
USC00311677,"CHAPEL HILL 2 W, NC US",9/28/1920,0.17,,84,64
USC00311677,"CHAPEL HILL 2 W, NC US",9/29/1920,0.25,,74,58
USC00311677,"CHAPEL HILL 2 W, NC US",9/30/1920,0.32,,65,50
USC00311677,"CHAPEL HILL 2 W, NC US",10/1/1920,1.25,0,64,45
USC00311677,"CHAPEL HILL 2 W, NC US",10/2/1920,0,0,71,41
USC00311677,"CHAPEL HILL 2 W, NC US",10/3/1920,0,0,70,43
USC00311677,"CHAPEL HILL 2 W, NC US",10/4/1920,0,0,72,47
USC00311677,"CHAPEL HILL 2 W, NC US",10/5/1920,0,0,74,47
USC00311677,"CHAPEL HILL 2 W, NC US",10/6/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/7/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/8/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/9/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/10/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/11/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/12/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/13/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/14/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/15/1920,0,0,82,51
USC00311677,"CHAPEL HILL 2 W, NC US",10/16/1920,0,0,80,49
USC00311677,"CHAPEL HILL 2 W, NC US",10/17/1920,0,0,81,52
USC00311677,"CHAPEL HILL 2 W, NC US",10/18/1920,0,0,82,51
USC00311677,"CHAPEL HILL 2 W, NC US",10/19/1920,0,0,82,50
USC00311677,"CHAPEL HILL 2 W, NC US",10/20/1920,0,0,78,51
USC00311677,"CHAPEL HILL 2 W, NC US",10/21/1920,0,0,80,53
USC00311677,"CHAPEL HILL 2 W, NC US",10/22/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/23/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/24/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/25/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/26/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/27/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",10/28/1920,0.43,0,62,46
USC00311677,"CHAPEL HILL 2 W, NC US",10/29/1920,0,0,54,36
USC00311677,"CHAPEL HILL 2 W, NC US",10/30/1920,0,0,60,37
USC00311677,"CHAPEL HILL 2 W, NC US",10/31/1920,0,0,71,39
USC00311677,"CHAPEL HILL 2 W, NC US",11/1/1920,0,0,74,49
USC00311677,"CHAPEL HILL 2 W, NC US",11/2/1920,0.04,0,64,50
USC00311677,"CHAPEL HILL 2 W, NC US",11/3/1920,0,0,60,42
USC00311677,"CHAPEL HILL 2 W, NC US",11/4/1920,0,0,54,36
USC00311677,"CHAPEL HILL 2 W, NC US",11/5/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/6/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/7/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/8/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/9/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/10/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/11/1920,0.04,0,70,46
USC00311677,"CHAPEL HILL 2 W, NC US",11/12/1920,0,0,52,38
USC00311677,"CHAPEL HILL 2 W, NC US",11/13/1920,0,0,51,22
USC00311677,"CHAPEL HILL 2 W, NC US",11/14/1920,0,0,49,19
USC00311677,"CHAPEL HILL 2 W, NC US",11/15/1920,0,0,49,22
USC00311677,"CHAPEL HILL 2 W, NC US",11/16/1920,2.51,0,51,27
USC00311677,"CHAPEL HILL 2 W, NC US",11/17/1920,1,0,52,35
USC00311677,"CHAPEL HILL 2 W, NC US",11/18/1920,0,0,51,29
USC00311677,"CHAPEL HILL 2 W, NC US",11/19/1920,0,0,61,28
USC00311677,"CHAPEL HILL 2 W, NC US",11/20/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/21/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/22/1920,0.1,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/23/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/24/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/25/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/26/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/27/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/28/1920,1.2,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/29/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",11/30/1920,0.81,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/1/1920,0,0,59,43
USC00311677,"CHAPEL HILL 2 W, NC US",12/2/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/3/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/4/1920,0.24,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/5/1920,0,0,57,36
USC00311677,"CHAPEL HILL 2 W, NC US",12/6/1920,0,0,61,41
USC00311677,"CHAPEL HILL 2 W, NC US",12/7/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/8/1920,0.84,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/9/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/10/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/11/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/12/1920,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/13/1920,0,0,63,44
USC00311677,"CHAPEL HILL 2 W, NC US",12/14/1920,0.15,0,65,45
USC00311677,"CHAPEL HILL 2 W, NC US",12/15/1920,0,0,55,40
USC00311677,"CHAPEL HILL 2 W, NC US",12/16/1920,0,0,54,36
